PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,CeTD_HB1,CeTD_HB2,CeTD_HB3,CeTD_VW1,CeTD_VW2,CeTD_VW3,CeTD_PZ1,CeTD_PZ2,CeTD_11_HB,CeTD_11_VW,CeTD_11_PO,CeTD_11_PZ,CeTD_11_CH,CeTD_11_SS,CeTD_11_SA,CeTD_12_HB,CeTD_12_VW,CeTD_12_PZ,CeTD_12_CH,CeTD_12_SS,CeTD_12_SA,CeTD_1-3_HB,CeTD_1-3_VW,CeTD_1-3_PO,CeTD_1-3_PZ,CeTD_22_PZ,CeTD_22_CH,CeTD_22_SA,CeTD_23_VW,CeTD_23_PO,CeTD_23_PZ,CeTD_23_SS,CeTD_23_SA,CeTD_31_HB,CeTD_31_PO,CeTD_31_PZ,CeTD_31_CH,CeTD_31_SS,CeTD_31_SA,CeTD_32_HB,CeTD_32_VW,CeTD_32_PO,CeTD_32_PZ,CeTD_32_CH,CeTD_32_SS,CeTD_32_SA,CeTD_33_HB,CeTD_33_VW,CeTD_33_PZ,CeTD_33_CH,CeTD_33_SS,CeTD_33_SA,CeTD_0_p_HB1,CeTD_25_p_HB1,CeTD_0_p_VW1,CeTD_0_p_PO1,CeTD_25_p_PO1,CeTD_0_p_PZ1,CeTD_0_p_CH1,CeTD_25_p_CH1,CeTD_0_p_SS1,CeTD_25_p_SS1,CeTD_0_p_SA1,CeTD_0_p_HB2,CeTD_0_p_VW2,CeTD_0_p_PO2,CeTD_0_p_PZ2,CeTD_0_p_CH2,CeTD_0_p_SS2,CeTD_25_p_SS2,CeTD_0_p_SA2,CeTD_0_p_HB3,CeTD_25_p_HB3,CeTD_0_p_VW3,CeTD_25_p_VW3,CeTD_0_p_PO3,CeTD_25_p_PO3,CeTD_0_p_PZ3,CeTD_0_p_CH3,CeTD_0_p_SS3,CeTD_0_p_SA3,CeTD_25_p_SA3,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
0.5,0.0,0.5,0.0,0.5,0.464,0.0,0.036,0.429,0.5,0.071,0.0,0.0,0.75,0.179,0.071,0.5,0.25,0.0,0.214,0.321,0.607,-0.189,-1.734,0.612,0.269,50.0,21.43,28.57,21.43,25.0,53.57,21.43,25.0,8,1,5,3,0,3,2,5,0,2,4,5,0,2,1,5,8,0,2,5,8,6,0,8,0,0,0,16,4,1,3,0,1,1,1,0,8,5,0,6,0,0,0,0,0,3,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.86,1.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,1.0,0.0,0.0
0.432,0.0,0.568,0.0,0.568,0.541,0.0,0.027,0.486,0.432,0.081,0.0,0.0,0.757,0.162,0.081,0.568,0.216,0.0,0.243,0.351,0.268,-0.463,-1.594,0.446,0.335,43.24,24.32,32.43,24.32,29.73,45.95,24.32,29.73,7,2,7,4,1,4,4,6,1,4,4,6,0,5,2,7,7,0,5,7,7,9,0,12,0,0,0,21,5,2,4,0,1,2,1,0,12,8,0,9,0,0,0,0,0,4,0,0,3,0,0,2,0,4,0,0,0,0,0,0,0,4,0,0,0,0,7,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.25,1.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.0
0.519,0.0,0.481,0.0,0.481,0.259,0.0,0.222,0.481,0.519,0.0,0.0,0.0,0.667,0.333,0.0,0.481,0.222,0.0,0.037,0.074,-0.237,0.913,-1.682,0.862,0.041,51.85,3.7,44.44,3.7,22.22,74.07,3.7,22.22,7,0,7,1,0,0,5,1,5,0,1,0,1,5,1,5,13,1,5,5,7,7,0,6,0,0,0,11,7,0,6,2,0,0,0,0,6,6,0,7,0,0,0,0,0,3,0,0,3,0,0,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.33,1.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.0
0.615,0.0,0.385,0.0,0.385,0.385,0.0,0.0,0.385,0.615,0.0,0.0,0.0,0.769,0.231,0.0,0.385,0.385,0.0,0.0,0.0,0.137,0.32,-2.389,0.728,0.269,61.54,0.0,38.46,0.0,38.46,61.54,0.0,38.46,6,0,1,0,0,0,1,0,4,0,0,0,4,1,0,1,6,4,1,1,6,1,0,4,0,0,0,6,3,0,3,0,0,0,0,0,4,1,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.545,0.0,0.455,0.273,0.182,0.182,0.0,0.0,0.0,0.545,0.455,0.273,0.0,0.545,0.0,0.455,0.182,0.364,0.273,0.455,0.455,2.497,-0.252,-1.163,0.375,0.195,54.55,45.45,0.0,45.45,0.0,54.55,45.45,0.0,4,1,0,1,4,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,4,1,0,4,0,0,0,4,0,1,0,0,0,1,0,4,0,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.429,0.0,0.571,0.143,0.429,0.286,0.0,0.214,0.429,0.429,0.071,0.071,0.0,0.714,0.214,0.071,0.429,0.286,0.143,0.071,0.071,-0.679,0.615,-1.373,0.485,0.159,42.86,14.29,42.86,7.14,28.57,64.29,7.14,28.57,3,1,2,0,0,1,2,1,3,1,0,0,1,3,1,2,5,1,3,2,3,3,0,5,0,0,0,7,3,0,1,0,1,1,0,0,3,2,1,2,1,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.5,0.0,0.5,0.0,0.5,0.286,0.0,0.143,0.5,0.5,0.0,0.0,0.071,0.643,0.357,0.0,0.429,0.429,0.071,0.0,0.0,-0.713,0.358,-1.605,0.765,0.078,50.0,0.0,50.0,0.0,28.57,71.43,0.0,28.57,3,0,4,0,0,0,3,0,3,0,0,0,0,4,0,4,5,0,4,4,3,4,0,3,0,0,0,6,3,0,2,2,0,0,0,0,2,3,0,3,1,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.67,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.636,0.0,0.364,0.0,0.364,0.182,0.0,0.182,0.364,0.636,0.0,0.0,0.0,0.727,0.273,0.0,0.364,0.091,0.0,0.0,0.091,0.711,1.803,-2.304,1.704,-0.279,63.64,0.0,36.36,0.0,18.18,81.82,0.0,18.18,3,0,3,0,0,0,3,0,1,0,0,0,0,2,0,2,6,0,2,2,3,3,0,1,0,0,0,5,2,0,2,1,0,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.0,1.0,0.0
0.212,0.03,0.758,0.061,0.606,0.455,0.0,0.121,0.455,0.303,0.242,0.0,0.03,0.515,0.242,0.242,0.576,0.303,0.061,0.182,0.273,-0.361,-0.299,-0.734,0.014,-0.078,36.36,21.21,42.42,18.18,45.45,36.36,18.18,45.45,6,1,5,1,1,4,4,5,5,4,0,3,6,6,2,5,5,6,6,5,2,4,0,21,1,0,0,7,3,7,6,2,0,3,3,1,12,5,1,5,1,2,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
0.333,0.0,0.667,0.2,0.4,0.133,0.133,0.2,0.533,0.533,0.133,0.133,0.133,0.467,0.333,0.2,0.133,0.333,0.467,0.0,0.333,-0.03,0.997,-0.665,0.945,-0.263,40.0,33.33,26.67,26.67,6.67,66.67,13.33,20.0,1,3,1,0,2,3,4,0,0,0,3,1,0,0,2,1,6,1,1,2,1,3,0,7,0,0,0,3,2,1,2,2,1,1,1,1,0,2,0,1,3,1,2,4,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.364,0.0,0.636,0.045,0.591,0.591,0.0,0.0,0.5,0.364,0.136,0.0,0.045,0.818,0.045,0.136,0.636,0.273,0.0,0.182,0.182,-0.683,-0.75,-1.457,0.156,0.279,36.36,13.64,50.0,14.29,47.62,38.1,13.64,50.0,2,1,5,1,2,0,4,0,6,0,1,0,6,4,1,4,2,6,4,5,2,6,0,8,0,0,0,16,1,1,0,0,0,1,0,2,8,5,0,6,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.68,0.2,0.48,0.36,0.04,0.12,0.52,0.36,0.2,0.12,0.04,0.6,0.28,0.12,0.4,0.2,0.28,0.12,0.28,-0.31,0.004,-1.085,0.356,0.148,32.0,32.0,36.0,24.0,28.0,48.0,20.0,32.0,3,3,2,3,2,2,1,3,5,1,2,1,1,5,3,5,4,1,6,6,3,4,0,14,0,0,0,8,4,2,5,2,0,1,1,1,4,1,4,3,2,3,3,1,0,2,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.67,1.5,1.0,0.0,1.0,1.0,1.5,1.0,2.0,1.0,0.0,1.0
0.259,0.111,0.63,0.148,0.481,0.259,0.111,0.222,0.481,0.37,0.259,0.037,0.0,0.593,0.222,0.185,0.37,0.37,0.185,0.037,0.185,-0.273,0.98,-0.583,0.25,0.264,44.44,18.52,37.04,18.52,33.33,48.15,7.41,44.44,7,1,4,0,0,4,4,4,2,2,2,2,5,2,3,2,8,7,3,4,3,2,1,13,2,0,0,10,3,3,3,1,2,2,2,0,2,4,4,4,1,4,0,0,0,3,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.8,1.0,0.0,0.0,1.0,0.0
0.429,0.107,0.464,0.143,0.25,0.214,0.0,0.0,0.321,0.5,0.25,0.107,0.071,0.679,0.143,0.179,0.25,0.286,0.143,0.214,0.393,1.833,0.303,-1.183,0.234,-0.097,60.71,25.0,14.29,29.63,22.22,48.15,28.57,25.0,12,2,3,3,3,1,1,2,0,0,2,1,1,4,2,5,6,1,4,5,5,5,2,6,1,1,0,14,2,3,1,0,2,3,2,0,3,2,1,2,3,2,2,0,0,4,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.11,1.0,1.0,0.0,0.0,0.0
0.239,0.109,0.652,0.304,0.326,0.283,0.043,0.065,0.413,0.304,0.304,0.109,0.152,0.457,0.304,0.239,0.391,0.283,0.261,0.304,0.413,0.669,-0.231,-0.08,-0.076,-0.241,34.78,32.61,32.61,30.0,32.5,37.5,21.74,45.65,5,4,7,3,8,4,7,3,4,4,5,3,4,5,6,5,4,10,6,8,2,6,1,21,4,0,0,7,8,6,6,4,3,7,2,2,6,7,4,7,4,5,3,4,0,4,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,1,0,5,0,3,0,0,0,0,3,1.0,1.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.333,0.0,0.667,0.417,0.25,0.25,0.0,0.083,0.25,0.333,0.5,0.25,0.0,0.5,0.25,0.25,0.25,0.333,0.333,0.25,0.417,1.109,-0.562,-1.153,-0.126,-0.008,41.67,50.0,8.33,41.67,16.67,41.67,41.67,16.67,1,3,1,3,2,0,0,1,0,1,1,1,0,1,2,1,2,0,1,1,1,3,0,5,0,0,0,2,3,1,1,0,1,2,0,1,1,1,1,1,3,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.484,0.0,0.516,0.065,0.452,0.258,0.0,0.194,0.419,0.484,0.161,0.065,0.0,0.484,0.419,0.097,0.452,0.355,0.065,0.097,0.194,0.111,0.172,-1.438,0.581,-0.062,48.39,16.13,35.48,16.13,16.13,67.74,16.13,16.13,7,2,6,1,2,1,6,1,4,0,2,1,0,4,2,5,14,0,4,5,7,8,0,8,0,0,0,7,7,1,7,4,1,0,2,1,7,6,1,7,1,0,1,0,0,3,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,1.33,1.67,0.0,1.0,1.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.462,0.0,0.538,0.0,0.538,0.154,0.0,0.385,0.538,0.462,0.0,0.0,0.0,0.462,0.538,0.0,0.538,0.077,0.154,0.0,0.154,-0.707,2.055,-0.969,2.366,-0.616,30.77,15.38,53.85,0.0,15.38,84.62,0.0,15.38,2,1,1,0,0,2,1,1,4,0,0,0,1,1,0,1,9,1,1,1,2,2,0,7,0,0,0,3,3,0,2,4,0,0,0,0,4,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,2.0,1.4,0.0
0.5,0.0,0.5,0.0,0.5,0.143,0.0,0.357,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.357,0.0,0.0,0.071,-0.659,1.199,-1.276,1.096,-0.187,50.0,0.0,50.0,0.0,14.29,85.71,0.0,14.29,3,0,4,0,0,0,3,0,3,0,0,0,1,1,0,1,10,1,1,1,3,4,0,3,0,0,0,3,4,0,3,3,0,0,0,0,3,3,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.583,0.0,0.417,0.0,0.417,0.333,0.0,0.083,0.417,0.583,0.0,0.0,0.0,0.583,0.417,0.0,0.417,0.167,0.0,0.0,0.167,0.405,0.79,-2.366,1.083,-0.112,58.33,0.0,41.67,0.0,33.33,66.67,0.0,33.33,2,0,4,0,0,0,4,0,1,0,0,0,1,3,0,3,4,1,3,3,2,4,0,1,0,0,0,2,4,0,4,1,0,0,0,0,1,4,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.175,0.079,0.746,0.381,0.302,0.238,0.048,0.127,0.365,0.286,0.317,0.127,0.127,0.413,0.302,0.286,0.317,0.349,0.302,0.27,0.413,0.453,0.077,-0.068,-0.183,-0.287,38.1,33.33,28.57,28.07,35.09,36.84,20.63,46.03,11,8,5,6,6,8,6,7,5,4,7,8,6,6,4,10,7,11,11,13,2,8,1,36,3,1,1,12,5,9,10,4,5,3,10,4,5,7,8,6,7,9,5,4,0,6,0,0,4,0,0,5,0,5,0,0,0,0,0,0,0,2,0,0,1,0,6,0,4,0,0,0,0,4,1.0,1.33,1.0,1.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.217,0.043,0.739,0.326,0.348,0.326,0.109,0.043,0.543,0.391,0.196,0.109,0.196,0.283,0.413,0.304,0.391,0.348,0.283,0.304,0.63,0.572,-0.412,0.2,0.029,-0.311,32.61,34.78,32.61,42.11,23.68,34.21,23.91,47.83,4,3,7,6,7,3,4,6,5,3,7,3,2,4,7,4,1,9,10,8,0,7,2,25,0,0,0,2,5,5,6,7,6,4,7,3,5,6,7,7,3,6,4,3,0,3,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.25,1.0,0.0,0.0,1.0,0.0,1.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,1.0,0.0,1.0
0.196,0.043,0.761,0.348,0.37,0.348,0.087,0.065,0.5,0.326,0.261,0.13,0.174,0.304,0.348,0.348,0.457,0.283,0.283,0.435,0.674,0.758,-0.609,0.477,-0.013,-0.227,26.09,45.65,28.26,52.63,15.79,31.58,34.78,39.13,2,5,4,6,9,6,3,7,3,2,8,4,1,1,6,3,2,6,7,7,0,6,1,28,1,0,0,2,5,6,7,5,4,4,6,6,11,4,6,4,5,6,5,2,0,3,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.25,1.0,0.0,1.0,1.5,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.196,0.043,0.761,0.348,0.37,0.348,0.087,0.065,0.5,0.326,0.261,0.13,0.174,0.304,0.348,0.348,0.457,0.283,0.261,0.435,0.674,0.781,-0.597,0.396,-0.055,-0.233,28.26,43.48,28.26,52.63,15.79,31.58,34.78,39.13,2,5,5,6,9,5,4,6,3,2,8,4,1,1,6,3,2,6,7,7,0,7,1,26,1,0,0,2,5,6,7,5,4,4,6,6,11,5,5,5,5,5,5,2,0,3,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.25,1.0,0.0,1.0,1.5,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.217,0.043,0.739,0.37,0.304,0.304,0.109,0.043,0.543,0.391,0.239,0.152,0.174,0.261,0.435,0.304,0.37,0.348,0.304,0.304,0.674,0.751,-0.464,0.178,-0.058,-0.312,32.61,39.13,28.26,47.37,21.05,31.58,28.26,45.65,4,4,6,6,9,3,4,5,4,2,7,3,2,3,6,4,1,9,9,8,0,7,2,25,0,0,0,1,5,5,6,8,6,4,7,3,5,6,6,6,4,6,4,4,0,3,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,5,0,0,0,0,3,1.0,1.25,1.0,0.0,0.0,1.0,0.0,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.8,1.0,0.0,1.0
0.174,0.022,0.804,0.37,0.37,0.348,0.087,0.065,0.522,0.326,0.283,0.152,0.174,0.261,0.391,0.348,0.457,0.261,0.304,0.435,0.717,0.807,-0.745,0.479,-0.053,-0.344,23.91,50.0,26.09,55.26,15.79,28.95,36.96,39.13,3,5,2,5,11,7,2,7,3,1,8,4,1,1,5,4,1,6,6,6,0,5,1,32,0,0,0,0,5,6,6,6,6,5,7,4,11,3,7,3,4,7,4,3,0,2,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.25,1.0,0.0,1.0,1.4,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.5,1.0,0.0,1.0
0.174,0.022,0.804,0.37,0.37,0.348,0.087,0.065,0.522,0.326,0.283,0.152,0.174,0.261,0.391,0.348,0.457,0.261,0.283,0.435,0.717,0.83,-0.733,0.397,-0.094,-0.349,26.09,47.83,26.09,55.26,15.79,28.95,36.96,39.13,3,5,3,5,11,6,3,6,3,1,8,4,1,1,5,4,1,6,6,6,0,6,1,30,0,0,0,0,5,6,6,6,6,5,7,4,11,4,6,4,4,6,4,3,0,3,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.25,1.0,0.0,1.0,1.4,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.5,1.0,0.0,1.0
0.196,0.043,0.761,0.391,0.304,0.283,0.043,0.065,0.435,0.304,0.348,0.217,0.13,0.304,0.348,0.348,0.391,0.261,0.304,0.413,0.63,0.967,-0.587,0.117,-0.251,-0.272,30.43,45.65,23.91,50.0,20.0,30.0,39.13,34.78,4,4,5,6,11,4,3,6,2,0,8,4,2,2,4,6,1,4,6,8,0,7,1,27,1,1,0,4,3,6,5,6,5,4,7,5,7,5,6,5,4,6,4,4,0,3,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.33,1.0,1.0,1.0,1.5,0.0,1.67,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.0,1.0
0.222,0.022,0.756,0.356,0.333,0.311,0.044,0.044,0.489,0.333,0.244,0.133,0.178,0.422,0.289,0.289,0.467,0.289,0.2,0.4,0.6,0.74,-0.527,0.128,-0.061,-0.282,33.33,33.33,33.33,40.54,27.03,32.43,28.89,44.44,3,4,7,7,4,4,4,7,4,4,6,4,2,4,6,4,1,8,8,6,0,8,1,25,0,0,0,6,4,8,6,3,4,6,6,1,8,8,5,9,2,4,3,2,0,3,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,2,1.0,1.25,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.13,0.043,0.826,0.348,0.435,0.413,0.109,0.043,0.63,0.283,0.261,0.152,0.174,0.283,0.391,0.326,0.5,0.283,0.283,0.391,0.739,0.317,-0.846,0.446,-0.162,-0.172,21.74,43.48,34.78,55.26,23.68,21.05,34.78,47.83,0,3,6,4,10,6,5,7,4,3,5,4,3,2,4,3,0,10,6,5,0,5,0,31,2,0,0,4,1,7,5,8,5,3,9,3,12,5,6,6,3,5,4,4,0,2,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.25,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.67,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0
0.13,0.022,0.848,0.413,0.37,0.37,0.109,0.043,0.543,0.304,0.326,0.217,0.152,0.239,0.37,0.391,0.413,0.283,0.37,0.413,0.717,0.57,-0.834,0.422,-0.283,-0.184,21.74,52.17,26.09,58.97,20.51,20.51,39.13,43.48,1,4,4,6,12,6,2,8,2,1,6,5,2,1,2,5,0,8,4,6,0,5,0,33,1,0,0,3,3,4,3,6,8,4,8,6,6,4,9,5,3,8,4,5,0,2,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,4,1.0,1.29,1.0,0.0,0.0,1.0,0.0,1.67,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.4,0.0,0.0,1.0
0.152,0.022,0.826,0.391,0.37,0.37,0.109,0.043,0.522,0.326,0.326,0.217,0.13,0.261,0.348,0.391,0.391,0.283,0.37,0.391,0.696,0.628,-0.743,0.265,-0.244,-0.13,23.91,52.17,23.91,57.5,20.0,22.5,39.13,41.3,1,5,4,7,12,5,2,7,2,1,7,5,2,1,3,5,0,6,5,7,0,6,0,31,1,0,0,3,3,5,3,6,7,5,7,6,6,4,8,5,4,7,5,5,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,4,1.0,1.33,1.0,0.0,0.0,1.0,0.0,1.67,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.4,0.0,0.0,1.0
0.174,0.043,0.783,0.391,0.326,0.304,0.065,0.065,0.457,0.304,0.348,0.217,0.13,0.283,0.348,0.37,0.391,0.261,0.326,0.413,0.652,0.882,-0.6,0.211,-0.268,-0.235,28.26,47.83,23.91,52.5,20.0,27.5,39.13,36.96,3,4,5,7,11,4,2,7,2,1,7,4,2,2,4,5,1,6,5,7,0,6,1,29,1,1,0,4,3,5,4,6,6,4,7,6,7,4,7,5,4,6,5,4,0,3,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,3,1.0,1.33,1.0,1.0,1.0,1.5,0.0,1.67,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.0,1.0
0.152,0.043,0.804,0.391,0.348,0.326,0.065,0.065,0.457,0.283,0.37,0.217,0.13,0.217,0.391,0.391,0.413,0.239,0.326,0.413,0.674,0.823,-0.724,0.222,-0.337,-0.291,26.09,47.83,26.09,52.5,22.5,25.0,39.13,39.13,2,4,5,7,11,4,2,7,3,1,7,5,3,1,3,5,1,8,4,6,0,5,1,30,1,0,0,2,4,3,3,7,8,4,7,7,8,4,7,5,4,6,5,4,0,3,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,3,1.0,1.33,1.0,1.0,1.0,2.2,0.0,1.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.5,1.0,0.0,1.0
